ay 	Aymara 	ltr 	Aymar 	en:Aymara language 	
nck 			Na-kara, Nakara 	Individual 	Living
ncl 			Michoacán Nahuatl 	Individual 	Living
ncm 			Nambo 	Individual 	Living
ncn 			Nauna 	Individual 	Living
nco 			Sibe 	Individual 	Living
ncq 			Northern Katang 	Individual 	Living
ncr 			Ncane 	Individual 	Living
ncs 			Nicaraguan Sign Language 	Individual 	Living
nct 			Chothe Naga 	Individual 	Living
ncu 			Chumburung 	Individual 	Living
ncx 			Central Puebla Nahuatl 	Individual 	Living
ncz 			Natchez 	Individual 	Extinct
nda 			Ndasa 	Individual 	Living
ndb 			Kenswei Nsei 	Individual 	Living
ndc 			Ndau 	Individual 	Living
ndd 			Nde-Nsele-Nta 	Individual 	Living
nde 	nde 	nd 	North Ndebele 	Individual 	Living
ndf 			Nadruvian 	Individual 	Historical
ndg 			Ndengereko 	Individual 	Living
ndh 			Ndali 	Individual 	Living
ndi 			Samba Leko 	Individual 	Living
ndj 			Ndamba 	Individual 	Living
ndk 			Ndaka 	Individual 	Living
ndl 			Ndolo 	Individual 	Living
ndm 			Ndam 	Individual 	Living
ndn 			Ngundi 	Individual 	Living
ndo 	ndo 	ng 	Ndonga 	Individual 	Living
ndp 			Ndo 	Individual 	Living
ndq 			Ndombe 	Individual 	Living
ndr 			Ndoola 	Individual 	Living
nds 	nds 		Low German, Low Saxon 	Individual 	Living
ndt 			Ndunga 	Individual 	Living
ndu 			Dugun 	Individual 	Living
ndv 			Ndut 	Individual 	Living
ndw 			Ndobo 	Individual 	Living
ndx 			Nduga 	Individual 	Living
ndy 			Lutos 	Individual 	Living
ndz 			Ndogo 	Individual 	Living
nea 			Eastern Ngad'a 	Individual 	Living
neb 			Toura (Côte d'Ivoire) 	Individual 	Living
nec 			Nedebang 	Individual 	Living
ned 			Nde-Gbite 	Individual 	Living
nee 			Nêlêmwa-Nixumwak 	Individual 	Living
nef 			Nefamese 	Individual 	Living
neg 			Negidal 	Individual 	Living
neh 			Nyenkha 	Individual 	Living
nei 			Neo-Hittite 	Individual 	Ancient
nej 			Neko 	Individual 	Living
nek 			Neku 	Individual 	Living
nem 			Nemi 	Individual 	Living
nen 			Nengone 	Individual 	Living
neo 			Ná-Meo 	Individual 	Living
nep 	nep 	ne 	Nepali (macrolanguage) 	Macrolanguage 	Living
neq 			North Central Mixe 	Individual 	Living
ner 			Yahadian 	Individual 	Living
nes 			Bhoti Kinnauri 	Individual 	Living
net 			Nete 	Individual 	Living
neu 			Neo 	Individual 	Constructed
nev 			Nyaheun 	Individual 	Living
new 	new 		Nepal Bhasa, Newari 	Individual 	Living
nex 			Neme 	Individual 	Living
ney 			Neyo 	Individual 	Living
nez 			Nez Perce 	Individual 	Living
nfa 			Dhao 	Individual 	Living
nfd 			Ahwai 	Individual 	Living
nfl 			Äiwoo, Ayiwo 	Individual 	Living
nfr 			Nafaanra 	Individual 	Living
nfu 			Mfumte 	Individual 	Living
nga 			Ngbaka 	Individual 	Living
ngb 			Northern Ngbandi 	Individual 	Living
ngc 			Ngombe (Democratic Republic of Congo) 	Individual 	Living
ngd 			Ngando (Central African Republic) 	Individual 	Living
nge 			Ngemba 	Individual 	Living
	ngf 		Trans-New Guinea languages 	Collective 	Genetic
ngg 			Ngbaka Manza 	Individual 	Living
ngh 			N/u, Nǀu, Nǁng 	Individual 	Living
ngi 			Ngizim 	Individual 	Living
ngj 			Ngie 	Individual 	Living
ngk 			Dalabon 	Individual 	Living
ngl 			Lomwe 	Individual 	Living
ngm 			Ngatik Men's Creole 	Individual 	Living
ngn 			Ngwo 	Individual 	Living
ngp 			Ngulu 	Individual 	Living
ngq 			Ngoreme, Ngurimi 	Individual 	Living
ngr 			Engdewu 	Individual 	Living
ngs 			Gvoko 	Individual 	Living
ngt 			Kriang, Ngeq 	Individual 	Living
ngu 			Guerrero Nahuatl 	Individual 	Living
ngv 			Nagumi 	Individual 	Extinct
ngw 			Ngwaba 	Individual 	Living
ngx 			Nggwahyi 	Individual 	Living
ngy 			Tibea 	Individual 	Living
ngz 			Ngungwel 	Individual 	Living
nha 			Nhanda 	Individual 	Living
nhb 			Beng 	Individual 	Living
nhc 			Tabasco Nahuatl 	Individual 	Extinct
nhd 			Ava Guaraní, Chiripá 	Individual 	Living
nhe 			Eastern Huasteca Nahuatl 	Individual 	Living
nhf 			Nhuwala 	Individual 	Living
nhg 			Tetelcingo Nahuatl 	Individual 	Living
nhh 			Nahari 	Individual 	Living
nhi 			Zacatlán-Ahuacatlán-Tepetzintla Nahuatl 	Individual 	Living
nhk 			Isthmus-Cosoleacaque Nahuatl 	Individual 	Living
nhm 			Morelos Nahuatl 	Individual 	Living
nhn 			Central Nahuatl 	Individual 	Living
nho 			Takuu 	Individual 	Living
nhp 			Isthmus-Pajapan Nahuatl 	Individual 	Living
nhq 			Huaxcaleca Nahuatl 	Individual 	Living
nhr 			Naro 	Individual 	Living
nht 			Ometepec Nahuatl 	Individual 	Living
nhu 			Noone 	Individual 	Living
nhv 			Temascaltepec Nahuatl 	Individual 	Living
nhw 			Western Huasteca Nahuatl 	Individual 	Living
nhx 			Isthmus-Mecayapan Nahuatl 	Individual 	Living
nhy 			Northern Oaxaca Nahuatl 	Individual 	Living
nhz 			Santa María La Alta Nahuatl 	Individual 	Living
nia 	nia 		Nias 	Individual 	Living
nib 			Nakame 	Individual 	Living
	nic 		Niger-Kordofanian languages 	Collective 	Genetic
nid 			Ngandi 	Individual 	Extinct
nie 			Niellim 	Individual 	Living
nif 			Nek 	Individual 	Living
nig 			Ngalakan, Ngalakgan 	Individual 	Extinct
nih 			Nyiha (Tanzania) 	Individual 	Living
nii 			Nii 	Individual 	Living
nij 			Ngaju 	Individual 	Living
nik 			Southern Nicobarese 	Individual 	Living
nil 			Nila 	Individual 	Living
nim 			Nilamba 	Individual 	Living
nin 			Ninzo 	Individual 	Living
nio 			Nganasan 	Individual 	Living
niq 			Nandi 	Individual 	Living
nir 			Nimboran 	Individual 	Living
nis 			Nimi 	Individual 	Living
nit 			Southeastern Kolami 	Individual 	Living
niu 	niu 		Niuean 	Individual 	Living
niv 			Gilyak 	Individual 	Living
niw 			Nimo 	Individual 	Living
nix 			Hema 	Individual 	Living
niy 			Ngiti 	Individual 	Living
niz 			Ningil 	Individual 	Living
nja 			Nzanyi 	Individual 	Living
njb 			Nocte Naga 	Individual 	Living
njd 			Ndonde Hamba 	Individual 	Living
njh 			Lotha Naga 	Individual 	Living
nji 			Gudanji 	Individual 	Living
njj 			Njen 	Individual 	Living
njl 			Njalgulgule 	Individual 	Living
njm 			Angami Naga 	Individual 	Living
njn 			Liangmai Naga 	Individual 	Living
njo 			Ao Naga 	Individual 	Living
njr 			Njerep 	Individual 	Living
njs 			Nisa 	Individual 	Living
njt 			Ndyuka-Trio Pidgin 	Individual 	Living
nju 			Ngadjunmaya 	Individual 	Living
njx 			Kunyi 	Individual 	Living
njy 			Njyem 	Individual 	Living
njz 			Nyishi 	Individual 	Living
nka 			Nkoya 	Individual 	Living
nkb 			Khoibu Naga 	Individual 	Living
nkc 			Nkongho 	Individual 	Living
nkd 			Koireng 	Individual 	Living
nke 			Duke 	Individual 	Living
nkf 			Inpui Naga 	Individual 	Living
nkg 			Nekgini 	Individual 	Living
nkh 			Khezha Naga 	Individual 	Living
nki 			Thangal Naga 	Individual 	Living
nkj 			Nakai 	Individual 	Living
nkk 			Nokuku 	Individual 	Living
nkm 			Namat 	Individual 	Living
nkn 			Nkangala 	Individual 	Living
nko 			Nkonya 	Individual 	Living
nkp 			Niuatoputapu 	Individual 	Extinct
nkq 			Nkami 	Individual 	Living
nkr 			Nukuoro 	Individual 	Living
nks 			North Asmat 	Individual 	Living
nkt 			Nyika (Tanzania) 	Individual 	Living
nku 			Bouna Kulango 	Individual 	Living
nkv 			Nyika (Malawi and Zambia) 	Individual 	Living
nkw 			Nkutu 	Individual 	Living
nkx 			Nkoroo 	Individual 	Living
nkz 			Nkari 	Individual 	Living
nla 			Ngombale 	Individual 	Living
nlc 			Nalca 	Individual 	Living
nld 	639-2/T: nld
639-2/B: dut 	nl 	Dutch, Flemish 	Individual 	Living
nle 			East Nyala 	Individual 	Living
nlg 			Gela 	Individual 	Living
nli 			Grangali 	Individual 	Living
nlj 			Nyali 	Individual 	Living
nlk 			Ninia Yali 	Individual 	Living
nll 			Nihali 	Individual 	Living
nlm 			Mankiyali 	Individual 	Living
nlo 			Ngul 	Individual 	Living
nlq 			Lao Naga 	Individual 	Living
nlu 			Nchumbulu 	Individual 	Living
nlv 			Orizaba Nahuatl 	Individual 	Living
nlw 			Walangama 	Individual 	Extinct
nlx 			Nahali 	Individual 	Living
nly 			Nyamal 	Individual 	Living
nlz 			Nalögo 	Individual 	Living
nma 			Maram Naga 	Individual 	Living
nmb 			Big Nambas, V'ënen Taut 	Individual 	Living
nmc 			Ngam 	Individual 	Living
nmd 			Ndumu 	Individual 	Living
nme 			Mzieme Naga 	Individual 	Living
nmf 			Tangkhul Naga (India) 	Individual 	Living
nmg 			Kwasio 	Individual 	Living
nmh 			Monsang Naga 	Individual 	Living
nmi 			Nyam 	Individual 	Living
nmj 			Ngombe (Central African Republic) 	Individual 	Living
nmk 			Namakura 	Individual 	Living
nml 			Ndemli 	Individual 	Living
nmm 			Manangba 	Individual 	Living
nmn 			!Xóõ, ǃXóõ 	Individual 	Living
nmo 			Moyon Naga 	Individual 	Living
nmp 			Nimanbur 	Individual 	Extinct
nmq 			Nambya 	Individual 	Living
nmr 			Nimbari 	Individual 	Extinct
nms 			Letemboi 	Individual 	Living
nmt 			Namonuito 	Individual 	Living
nmu 			Northeast Maidu 	Individual 	Living
nmv 			Ngamini 	Individual 	Extinct
nmw 			Nimoa, Rifao 	Individual 	Living
nmx 			Nama (Papua New Guinea) 	Individual 	Living
nmy 			Namuyi 	Individual 	Living
nmz 			Nawdm 	Individual 	Living
nna 			Nyangumarta 	Individual 	Living
nnb 			Nande 	Individual 	Living
nnc 			Nancere 	Individual 	Living
nnd 			West Ambae 	Individual 	Living
nne 			Ngandyera 	Individual 	Living
nnf 			Ngaing 	Individual 	Living
nng 			Maring Naga 	Individual 	Living
nnh 			Ngiemboon 	Individual 	Living
nni 			North Nuaulu 	Individual 	Living
nnj 			Nyangatom 	Individual 	Living
nnk 			Nankina 	Individual 	Living
nnl 			Northern Rengma Naga 	Individual 	Living
nnm 			Namia 	Individual 	Living
nnn 			Ngete 	Individual 	Living
nno 	nno 	nn 	Norwegian Nynorsk 	Individual 	Living
nnp 			Wancho Naga 	Individual 	Living
nnq 			Ngindo 	Individual 	Living
nnr 			Narungga 	Individual 	Extinct
nnt 			Nanticoke 	Individual 	Extinct
nnu 			Dwang 	Individual 	Living
nnv 			Nugunu (Australia) 	Individual 	Extinct
nnw 			Southern Nuni 	Individual 	Living
nny 			Nyangga 	Individual 	Extinct
nnz 			Nda'nda' 	Individual 	Living
noa 			Woun Meu 	Individual 	Living
nob 	nob 	nb 	Norwegian Bokmål 	Individual 	Living
noc 			Nuk 	Individual 	Living
nod 			Northern Thai 	Individual 	Living
noe 			Nimadi 	Individual 	Living
nof 			Nomane 	Individual 	Living
nog 	nog 		Nogai 	Individual 	Living
noh 			Nomu 	Individual 	Living
noi 			Noiri 	Individual 	Living
noj 			Nonuya 	Individual 	Living
nok 			Nooksack 	Individual 	Extinct
nol 			Nomlaki 	Individual 	Extinct
nom 			Nocamán 	Individual 	Extinct
non 	non 		Old Norse 	Individual 	Historical
nop 			Numanggang 	Individual 	Living
noq 			Ngongo 	Individual 	Living
nor 	nor 	no 	Norwegian 	Macrolanguage 	Living
nos 			Eastern Nisu 	Individual 	Living
not 			Nomatsiguenga 	Individual 	Living
nou 			Ewage-Notu 	Individual 	Living
nov 			Novial 	Individual 	Constructed
now 			Nyambo 	Individual 	Living
noy 			Noy 	Individual 	Living
noz 			Nayi 	Individual 	Living
npa 			Nar Phu 	Individual 	Living
npb 			Nupbikha 	Individual 	Living
npg 			Ponyo-Gongwang Naga 	Individual 	Living
nph 			Phom Naga 	Individual 	Living
npi 			Nepali (individual language) 	Individual 	Living
npl 			Southeastern Puebla Nahuatl 	Individual 	Living
npn 			Mondropolon 	Individual 	Living
npo 			Pochuri Naga 	Individual 	Living
nps 			Nipsan 	Individual 	Living
npu 			Puimei Naga 	Individual 	Living
npx 			Noipx 	Individual 	Living
npy 			Napu 	Individual 	Living
nqg 			Southern Nago 	Individual 	Living
nqk 			Kura Ede Nago 	Individual 	Living
nql 			Ngendelengo 	Individual 	Living
nqm 			Ndom 	Individual 	Living
nqn 			Nen 	Individual 	Living
nqo 	nqo 		N'Ko 	Individual 	Living
nqq 			Kyan-Karyaw Naga 	Individual 	Living
nqt 			Nteng 	Individual 	Living
nqy 			Akyaung Ari Naga 	Individual 	Living
nra 			Ngom 	Individual 	Living
nrb 			Nara 	Individual 	Living
nrc 			Noric 	Individual 	Ancient
nre 			Southern Rengma Naga 	Individual 	Living
nrf 			Guernésiais, Jèrriais 	Individual 	Living
nrg 			Narango 	Individual 	Living
nri 			Chokri Naga 	Individual 	Living
nrk 			Ngarla 	Individual 	Living
nrl 			Ngarluma 	Individual 	Living
nrm 			Narom 	Individual 	Living
nrn 			Norn 	Individual 	Extinct
nrp 			North Picene 	Individual 	Ancient
nrr 			Nora, Norra 	Individual 	Extinct
nrt 			Northern Kalapuya 	Individual 	Extinct
nru 			Narua 	Individual 	Living
nrx 			Ngurmbur 	Individual 	Extinct
nrz 			Lala 	Individual 	Living
nsa 			Sangtam Naga 	Individual 	Living
nsb 			Lower Nossob 	Individual 	Extinct
nsc 			Nshi 	Individual 	Living
nsd 			Southern Nisu 	Individual 	Living
nse 			Nsenga 	Individual 	Living
nsf 			Northwestern Nisu 	Individual 	Living
nsg 			Ngasa 	Individual 	Living
nsh 			Ngoshie 	Individual 	Living
nsi 			Nigerian Sign Language 	Individual 	Living
nsk 			Naskapi 	Individual 	Living
nsl 			Norwegian Sign Language 	Individual 	Living
nsm 			Sumi Naga 	Individual 	Living
nsn 			Nehan 	Individual 	Living
nso 	nso 		Northern Sotho, Pedi, Sepedi 	Individual 	Living
nsp 			Nepalese Sign Language 	Individual 	Living
nsq 			Northern Sierra Miwok 	Individual 	Living
nsr 			Maritime Sign Language 	Individual 	Living
nss 			Nali 	Individual 	Living
nst 			Tase Naga 	Individual 	Living
nsu 			Sierra Negra Nahuatl 	Individual 	Living
nsv 			Southwestern Nisu 	Individual 	Living
nsw 			Navut 	Individual 	Living
nsx 			Nsongo 	Individual 	Living
nsy 			Nasal 	Individual 	Living
nsz 			Nisenan 	Individual 	Living
ntd 			Northern Tidung 	Individual 	Living
nte 			Nathembo 	Individual 	Living
ntg 			Ngantangarra 	Individual 	Extinct
nti 			Natioro 	Individual 	Living
ntj 			Ngaanyatjarra 	Individual 	Living
ntk 			Ikoma-Nata-Isenye 	Individual 	Living
ntm 			Nateni 	Individual 	Living
nto 			Ntomba 	Individual 	Living
ntp 			Northern Tepehuan 	Individual 	Living
ntr 			Delo 	Individual 	Living
ntu 			Natügu 	Individual 	Living
ntw 			Nottoway 	Individual 	Extinct
ntx 			Tangkhul Naga (Myanmar) 	Individual 	Living
nty 			Mantsi 	Individual 	Living
ntz 			Natanzi 	Individual 	Living
nua 			Yuanga 	Individual 	Living
	nub 		Nubian languages 	Collective 	Genetic
nuc 			Nukuini 	Individual 	Extinct
nud 			Ngala 	Individual 	Living
nue 			Ngundu 	Individual 	Living
nuf 			Nusu 	Individual 	Living
nug 			Nungali 	Individual 	Extinct
nuh 			Ndunda 	Individual 	Living
nui 			Ngumbi 	Individual 	Living
nuj 			Nyole 	Individual 	Living
nuk 			Nuu-chah-nulth, Nuuchahnulth 	Individual 	Living
nul 			Nusa Laut 	Individual 	Extinct
num 			Niuafo'ou 	Individual 	Living
nun 			Anong 	Individual 	Living
nuo 			Nguôn 	Individual 	Living
nup 			Nupe-Nupe-Tako 	Individual 	Living
nuq 			Nukumanu 	Individual 	Living
nur 			Nukuria 	Individual 	Living
nus 			Nuer 	Individual 	Living
nut 			Nung (Viet Nam) 	Individual 	Living
nuu 			Ngbundu 	Individual 	Living
nuv 			Northern Nuni 	Individual 	Living
nuw 			Nguluwan 	Individual 	Living
nux 			Mehek 	Individual 	Living
nuy 			Nunggubuyu 	Individual 	Living
nuz 			Tlamacazapa Nahuatl 	Individual 	Living
nvh 			Nasarian 	Individual 	Living
nvm 			Namiae 	Individual 	Living
nvo 			Nyokon 	Individual 	Living
nwa 			Nawathinehena 	Individual 	Extinct
nwb 			Nyabwa 	Individual 	Living
nwc 	nwc 		Classical Nepal Bhasa, Classical Newari, Old Newari 	Individual 	Historical
nwe 			Ngwe 	Individual 	Living
nwg 			Ngayawung 	Individual 	Extinct
nwi 			Southwest Tanna 	Individual 	Living
nwm 			Nyamusa-Molo 	Individual 	Living
nwo 			Nauo 	Individual 	Extinct
nwr 			Nawaru 	Individual 	Living
nwx 			Middle Newar 	Individual 	Historical
nwy 			Nottoway-Meherrin 	Individual 	Extinct
nxa 			Nauete 	Individual 	Living
nxd 			Ngando (Democratic Republic of Congo) 	Individual 	Living
nxe 			Nage 	Individual 	Living
nxg 			Ngad'a 	Individual 	Living
nxi 			Nindi 	Individual 	Living
nxk 			Koki Naga 	Individual 	Living
nxl 			South Nuaulu 	Individual 	Living
nxm 			Numidian 	Individual 	Ancient
nxn 			Ngawun 	Individual 	Extinct
nxo 			Ndambomo 	Individual 	Living
nxq 			Naxi 	Individual 	Living
nxr 			Ninggerum 	Individual 	Living
nxx 			Nafri 	Individual 	Living
nya 	nya 	ny 	Chewa, Chichewa, Nyanja 	Individual 	Living
nyb 			Nyangbo 	Individual 	Living
nyc 			Nyanga-li 	Individual 	Living
nyd 			Nyore, Olunyole 	Individual 	Living
nye 			Nyengo 	Individual 	Living
nyf 			Giryama, Kigiryama 	Individual 	Living
nyg 			Nyindu 	Individual 	Living
nyh 			Nyigina, Nyikina 	Individual 	Living
nyi 			Ama (Sudan) 	Individual 	Living 
nyj 		Nyanga 	Individual 	Living
nyk 		Nyaneka 	Individual 	Living
nyl 		Nyeu 	Individual 	Living
nym 	nym 	Nyamwezi 	Individual 	Living
nyn 	nyn 	Nyankole 	Individual 	Living
nyo 	nyo 	Nyoro 	Individual 	Living
nyp 		Nyang'i 	Individual 	Extinct
nyq 		Nayini 	Individual 	Living
nyr 		Nyiha (Malawi) 	Individual 	Living
nys 		Nyunga, Nyungar 	Individual 	Living
nyt 		Nyawaygi 	Individual 	Extinct
nyu 		Nyungwe 	Individual 	Living
nyv 		Nyulnyul 	Individual 	Extinct
nyw 		Nyaw 	Individual 	Living
nyx 		Nganyaywana 	Individual 	Extinct
nyy 		Nyakyusa-Ngonde 	Individual 	Living
nza 		Tigon Mbembe 	Individual 	Living
nzb 		Njebi 	Individual 	Living
nzd 		Nzadi 	Individual 	Living
nzi 	nzi 	Nzima 	Individual 	Living
nzk 		Nzakara 	Individual 	Living
nzm 		Zeme Naga 	Individual 	Living
nzs 		New Zealand Sign Language 	Individual 	Living
nzu 		Teke-Nzikou 	Individual 	Living
nzy 		Nzakambay 	Individual 	Living
nzz 		Nanga Dama Dogon 	Individual 	Living 
oaa 			Orok 	Individual 	Living
oac 			Oroch 	Individual 	Living
oar 			Ancient Aramaic (up to 700 BCE), Old Aramaic (up to 700 BCE) 	Individual 	Ancient
oav 			Old Avar 	Individual 	Historical
obi 			Obispeño 	Individual 	Extinct
obk 			Southern Bontok 	Individual 	Living
obl 			Oblo 	Individual 	Living
obm 			Moabite 	Individual 	Ancient
obo 			Obo Manobo 	Individual 	Living
obr 			Old Burmese 	Individual 	Historical
obt 			Old Breton 	Individual 	Historical
obu 			Obulom 	Individual 	Living
oca 			Ocaina 	Individual 	Living
och 			Old Chinese 	Individual 	Ancient
oci 	oci 	oc 	Occitan (post 1500) 	Individual 	Living
ocm 			Old Cham 	Individual 	Historical
oco 			Old Cornish 	Individual 	Historical
ocu 			Atzingo Matlatzinca 	Individual 	Living
oda 			Odut 	Individual 	Living
odk 			Od 	Individual 	Living
odt 			Old Dutch 	Individual 	Historical
odu 			Odual 	Individual 	Living
ofo 			Ofo 	Individual 	Extinct
ofs 			Old Frisian 	Individual 	Historical
ofu 			Efutop 	Individual 	Living
ogb 			Ogbia 	Individual 	Living
ogc 			Ogbah 	Individual 	Living
oge 			Old Georgian 	Individual 	Historical
ogg 			Ogbogolo 	Individual 	Living
ogo 			Khana 	Individual 	Living
ogu 			Ogbronuagum 	Individual 	Living
oht 			Old Hittite 	Individual 	Ancient
ohu 			Old Hungarian 	Individual 	Historical
oia 			Oirata 	Individual 	Living
oin 			Inebu One 	Individual 	Living
ojb 			Northwestern Ojibwa 	Individual 	Living
ojc 			Central Ojibwa 	Individual 	Living
ojg 			Eastern Ojibwa 	Individual 	Living
oji 	oji 	oj 	Ojibwa 	Macrolanguage 	Living
ojp 			Old Japanese 	Individual 	Historical
ojs 			Severn Ojibwa 	Individual 	Living
ojv 			Ontong Java 	Individual 	Living
ojw 			Western Ojibwa 	Individual 	Living
oka 			Okanagan 	Individual 	Living
okb 			Okobo 	Individual 	Living
okc 			Kobo 	Individual 	Living
okd 			Okodia 	Individual 	Living
oke 			Okpe (Southwestern Edo) 	Individual 	Living
okg 			Koko Babangk 	Individual 	Extinct
okh 			Koresh-e Rostam 	Individual 	Living
oki 			Okiek 	Individual 	Living
okj 			Oko-Juwoi 	Individual 	Extinct
okk 			Kwamtim One 	Individual 	Living
okl 			Old Kentish Sign Language 	Individual 	Extinct
okm 			Middle Korean (10th-16th cent.) 	Individual 	Historical
okn 			Oki-No-Erabu 	Individual 	Living
oko 			Old Korean (3rd-9th cent.) 	Individual 	Historical
okr 			Kirike 	Individual 	Living
oks 			Oko-Eni-Osayen 	Individual 	Living
oku 			Oku 	Individual 	Living
okv 			Orokaiva 	Individual 	Living
okx 			Okpe (Northwestern Edo) 	Individual 	Living
okz 			Old Khmer 	Individual 	Historical
ola 			Walungge 	Individual 	Living
old 			Mochi 	Individual 	Living
ole 			Olekha 	Individual 	Living
olk 			Olkol 	Individual 	Extinct
olm 			Oloma 	Individual 	Living
olo 			Livvi 	Individual 	Living
olr 			Olrat 	Individual 	Living
olt 			Old Lithuanian 	Individual 	Historical
olu 			Kuvale 	Individual 	Living
oma 			Omaha-Ponca 	Individual 	Living
omb 			East Ambae 	Individual 	Living
omc 			Mochica 	Individual 	Extinct
omg 			Omagua 	Individual 	Living
omi 			Omi 	Individual 	Living
omk 			Omok 	Individual 	Extinct
oml 			Ombo 	Individual 	Living
omn 			Minoan 	Individual 	Ancient
omo 			Utarmbung 	Individual 	Living
omp 			Old Manipuri 	Individual 	Historical
	omq 		Oto-Manguean languages 	Collective 	Genetic
omr 			Old Marathi 	Individual 	Historical
omt 			Omotik 	Individual 	Living
omu 			Omurano 	Individual 	Extinct
	omv 		Omotic languages 	Collective 	Genetic
omw 			South Tairora 	Individual 	Living
omx 			Old Mon 	Individual 	Historical
omy 			Old Malay 	Individual 	Historical
ona 			Ona 	Individual 	Living
onb 			Lingao 	Individual 	Living
one 			Oneida 	Individual 	Living
ong 			Olo 	Individual 	Living
oni 			Onin 	Individual 	Living
onj 			Onjob 	Individual 	Living
onk 			Kabore One 	Individual 	Living
onn 			Onobasulu 	Individual 	Living
ono 			Onondaga 	Individual 	Living
onp 			Sartang 	Individual 	Living
onr 			Northern One 	Individual 	Living
ons 			Ono 	Individual 	Living
ont 			Ontenu 	Individual 	Living
onu 			Unua 	Individual 	Living
onw 			Old Nubian 	Individual 	Historical
onx 			Onin Based Pidgin 	Individual 	Living
ood 			Tohono O'odham 	Individual 	Living
oog 			Ong 	Individual 	Living
oon 			Önge 	Individual 	Living
oor 			Oorlams 	Individual 	Living
oos 			Old Ossetic 	Individual 	Ancient
opa 			Okpamheri 	Individual 	Living
opk 			Kopkaka 	Individual 	Living
opm 			Oksapmin 	Individual 	Living
opo 			Opao 	Individual 	Living
opt 			Opata 	Individual 	Extinct
opy 			Ofayé 	Individual 	Living
ora 			Oroha 	Individual 	Living
orc 			Orma 	Individual 	Living
ore 			Orejón 	Individual 	Living
orh 			Oroqen 	Individual 	Living
ori 	ori 	or 	Oriya (macrolanguage) 	Macrolanguage 	Living
orm 	orm 	om 	Oromo 	Macrolanguage 	Living
orn 			Orang Kanaq 	Individual 	Living
oro 			Orokolo 	Individual 	Living
orr 			Oruma 	Individual 	Living
ors 			Orang Seletar 	Individual 	Living
ort 			Adivasi Oriya 	Individual 	Living
oru 			Ormuri 	Individual 	Living
orv 			Old Russian 	Individual 	Historical
orw 			Oro Win 	Individual 	Living
orx 			Oro 	Individual 	Living
ory 			Odia, Oriya (individual language) 	Individual 	Living
orz 			Ormu 	Individual 	Living
osa 	osa 		Osage 	Individual 	Living
osc 			Oscan 	Individual 	Ancient
osi 			Osing 	Individual 	Living
osn 			Old Sundanese 	Individual 	Historical
oso 			Ososo 	Individual 	Living
osp 			Old Spanish 	Individual 	Historical
oss 	oss 	os 	Ossetian, Ossetic 	Individual 	Living
ost 			Osatu 	Individual 	Living
osu 			Southern One 	Individual 	Living
osx 			Old Saxon 	Individual 	Historical
ota 	ota 		Ottoman Turkish (1500-1928) 	Individual 	Historical
otb 			Old Tibetan 	Individual 	Historical
otd 			Ot Danum 	Individual 	Living
ote 			Mezquital Otomi 	Individual 	Living
oti 			Oti 	Individual 	Extinct
otk 			Old Turkish 	Individual 	Historical
otl 			Tilapa Otomi 	Individual 	Living
otm 			Eastern Highland Otomi 	Individual 	Living
otn 			Tenango Otomi 	Individual 	Living
	oto 		Otomian languages 	Collective 	Genetic
otq 			Querétaro Otomi 	Individual 	Living
otr 			Otoro 	Individual 	Living
ots 			Estado de México Otomi 	Individual 	Living
ott 			Temoaya Otomi 	Individual 	Living
otu 			Otuke 	Individual 	Extinct
otw 			Ottawa 	Individual 	Living
otx 			Texcatepec Otomi 	Individual 	Living
oty 			Old Tamil 	Individual 	Ancient
otz 			Ixtenco Otomi 	Individual 	Living
oua 			Tagargrent 	Individual 	Living
oub 			Glio-Oubi 	Individual 	Living
oue 			Oune 	Individual 	Living
oui 			Old Uighur 	Individual 	Historical
oum 			Ouma 	Individual 	Extinct
ovd 			Elfdalian, Övdalian 	Individual 	Living
owi 			Owiniga 	Individual 	Living
owl 			Old Welsh 	Individual 	Historical
oyb 			Oy 	Individual 	Living
oyd 			Oyda 	Individual 	Living
oym 			Wayampi 	Individual 	Living
oyy 			Oya'oya 	Individual 	Living
ozm 			Koonzime 	Individual 	Living 
 	paa 		Papuan languages 	Collective 	Geographic
pab 			Parecís 	Individual 	Living
pac 			Pacoh 	Individual 	Living
pad 			Paumarí 	Individual 	Living
pae 			Pagibete 	Individual 	Living
paf 			Paranawát 	Individual 	Extinct
pag 	pag 		Pangasinan 	Individual 	Living
pah 			Tenharim 	Individual 	Living
pai 			Pe 	Individual 	Living
pak 			Parakanã 	Individual 	Living
pal 	pal 		Pahlavi 	Individual 	Ancient
pam 	pam 		Kapampangan, Pampanga 	Individual 	Living
pan 	pan 	pa 	Panjabi, Punjabi 	Individual 	Living
pao 			Northern Paiute 	Individual 	Living
pap 	pap 		Papiamento 	Individual 	Living
paq 			Parya 	Individual 	Living
par 			Panamint, Timbisha 	Individual 	Living
pas 			Papasena 	Individual 	Living
pau 	pau 		Palauan 	Individual 	Living
pav 			Pakaásnovos 	Individual 	Living
paw 			Pawnee 	Individual 	Living
pax 			Pankararé 	Individual 	Extinct
pay 			Pech 	Individual 	Living
paz 			Pankararú 	Individual 	Extinct
pbb 			Páez 	Individual 	Living
pbc 			Patamona 	Individual 	Living
pbe 			Mezontla Popoloca 	Individual 	Living
pbf 			Coyotepec Popoloca 	Individual 	Living
